Bind cmd=cancel ctrl=ESC -> action=0x01000001
Bind cmd=exitgame ctrl=RCTRL -> action=0x0100009D
Bind cmd=exitgame ctrl=C -> action=0x0100002E
Bind cmd=exitgame ctrl=LCTRL -> action=0x0100001D
Bind cmd=exitgame ctrl=C -> action=0x0100002E
Bind cmd=exitgame ctrl=RCTRL -> action=0x0100009D
Bind cmd=exitgame ctrl=Q -> action=0x01000010
Bind cmd=exitgame ctrl=LCTRL -> action=0x0100001D
Bind cmd=exitgame ctrl=Q -> action=0x01000010
Bind cmd=console ctrl=` -> action=0x01000029
Bind cmd=pause ctrl=PAUSE -> action=0x010000C5
Bind cmd=screenshot ctrl=SYSRQ -> action=0x010000B7
Bind cmd=showfps ctrl=SCROLL -> action=0x01000046
Bind cmd=cursor_x ctrl=MOUSE_AXIS_X -> action=0x00000000
Bind cmd=cursor_y ctrl=MOUSE_AXIS_Y -> action=0x00000004
Bind cmd=scroll ctrl=MOUSE_AXIS_Z -> action=0x00000008
Bind cmd=leftbutton_down ctrl=MOUSE_BUTTON0 -> action=0x0000000C
Bind cmd=leftbutton_up ctrl=MOUSE_BUTTON0 -> action=0x0000000C
Bind cmd=rightbutton_down ctrl=MOUSE_BUTTON1 -> action=0x0000000D
Bind cmd=rightbutton_up ctrl=MOUSE_BUTTON1 -> action=0x0000000D
Bind cmd=camera_zoom ctrl=PG_UP -> action=0x010000C9
Bind cmd=camera_zoom ctrl=PG_DOWN -> action=0x010000D1
Bind cmd=camera_forward ctrl=UP -> action=0x010000C8
Bind cmd=camera_forward ctrl=DOWN -> action=0x010000D0
Bind cmd=camera_strafe ctrl=RIGHT -> action=0x010000CD
Bind cmd=camera_strafe ctrl=LEFT -> action=0x010000CB
Bind cmd=camera_pitch ctrl=LCTRL -> action=0x0100001D
Bind cmd=camera_pitch ctrl=UP -> action=0x010000C8
Bind cmd=camera_pitch ctrl=RCTRL -> action=0x0100009D
Bind cmd=camera_pitch ctrl=UP -> action=0x010000C8
Bind cmd=camera_pitch ctrl=LCTRL -> action=0x0100001D
Bind cmd=camera_pitch ctrl=DOWN -> action=0x010000D0
Bind cmd=camera_pitch ctrl=RCTRL -> action=0x0100009D
Bind cmd=camera_pitch ctrl=DOWN -> action=0x010000D0
Bind cmd=camera_rotate ctrl=LCTRL -> action=0x0100001D
Bind cmd=camera_rotate ctrl=RIGHT -> action=0x010000CD
Bind cmd=camera_rotate ctrl=RCTRL -> action=0x0100009D
Bind cmd=camera_rotate ctrl=RIGHT -> action=0x010000CD
Bind cmd=camera_rotate ctrl=LCTRL -> action=0x0100001D
Bind cmd=camera_rotate ctrl=LEFT -> action=0x010000CB
Bind cmd=camera_rotate ctrl=RCTRL -> action=0x0100009D
Bind cmd=camera_rotate ctrl=LEFT -> action=0x010000CB
Bind cmd=camera_zoom ctrl=MOUSE_AXIS_Z -> action=0x00000008
Bind cmd=camera_pitch ctrl=MOUSE_BUTTON1 -> action=0x0000000D
Bind cmd=camera_pitch ctrl=MOUSE_AXIS_Y -> action=0x00000004
Bind cmd=camera_rotate ctrl=MOUSE_BUTTON1 -> action=0x0000000D
Bind cmd=camera_rotate ctrl=MOUSE_AXIS_X -> action=0x00000000
Bind cmd=camera_strafe ctrl=LCTRL -> action=0x0100001D
Bind cmd=camera_strafe ctrl=MOUSE_BUTTON1 -> action=0x0000000D
Bind cmd=camera_strafe ctrl=MOUSE_AXIS_X -> action=0x00000000
